"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","CPI","TOT","AGRWTH","M","2017-12",1.869159,
"CAN","CPI","TOT","AGRWTH","M","2018-01",1.698842,
"CAN","CPI","TOT","AGRWTH","M","2018-02",2.158828,
"CAN","CPI","TOT","AGRWTH","M","2018-03",2.309469,
"CAN","CPI","TOT","AGRWTH","M","2018-04",2.223926,
"CAN","CPI","TOT","AGRWTH","M","2018-05",2.222222,
"CAN","CPI","TOT","AGRWTH","M","2018-06",2.453988,
"CAN","CPI","TOT","AGRWTH","M","2018-07",2.990798,
"CAN","CPI","TOT","AGRWTH","M","2018-08",2.835249,
"CAN","CPI","TOT","AGRWTH","M","2018-09",2.217125,
"CAN","CPI","TOT","AGRWTH","M","2018-10",2.444614,
"CAN","CPI","TOT","AGRWTH","M","2018-11",1.675552,
"CAN","CPI","TOT","AGRWTH","M","2018-12",1.987768,
"CAN","CPI","TOT","AGRWTH","M","2019-01",1.442673,
"CAN","CPI","TOT","AGRWTH","M","2019-02",1.509434,
"CAN","CPI","TOT","AGRWTH","M","2019-03",1.881114,
"CAN","CPI","TOT","AGRWTH","M","2019-04",2.025506,
"CAN","CPI","TOT","AGRWTH","M","2019-05",2.398801,
"CAN","CPI","TOT","AGRWTH","M","2019-06",2.020958,
"CAN","CPI","TOT","AGRWTH","M","2019-07",2.010424,
"CAN","CPI","TOT","AGRWTH","M","2019-08",1.937407,
"CAN","CPI","TOT","AGRWTH","M","2019-09",1.869858,
"CAN","CPI","TOT","AGRWTH","M","2019-10",1.86428,
"CAN","CPI","TOT","AGRWTH","M","2019-11",2.172285,
"CAN","CPI","TOT","AGRWTH","M","2019-12",2.248876,
"CAN","CPI","TOT","AGRWTH","M","2020-01",2.39521,
"CAN","CPI","TOT","AGRWTH","M","2020-02",2.156134,
"CAN","CPI","TOT","AGRWTH","M","2020-03",0.886263,
"CAN","CPI","TOT","AGRWTH","M","2020-04",-0.2205882,
"CAN","CPI","TOT","AGRWTH","M","2020-05",-0.3660322,
"CAN","CPI","TOT","AGRWTH","M","2020-06",0.6603081,
"CAN","CPI","TOT","AGRWTH","M","2020-07",0.1459854,
"CAN","CPI","TOT","AGRWTH","M","2020-08",0.1461988,
"CAN","CPI","TOT","AGRWTH","M","2020-09",0.51395,
"CAN","CPI","TOT","AGRWTH","M","2020-10",0.658858,
"CAN","CPI","TOT","AGRWTH","M","2020-11",0.9530792,
"CAN","CPI","TOT","AGRWTH","M","2020-12",0.7331378,
"JPN","CPI","TOT","AGRWTH","M","2017-12",1,
"JPN","CPI","TOT","AGRWTH","M","2018-01",1.4,
"JPN","CPI","TOT","AGRWTH","M","2018-02",1.5,
"JPN","CPI","TOT","AGRWTH","M","2018-03",1.1,
"JPN","CPI","TOT","AGRWTH","M","2018-04",0.6,
"JPN","CPI","TOT","AGRWTH","M","2018-05",0.7,
"JPN","CPI","TOT","AGRWTH","M","2018-06",0.7,
"JPN","CPI","TOT","AGRWTH","M","2018-07",0.9,
"JPN","CPI","TOT","AGRWTH","M","2018-08",1.3,
"JPN","CPI","TOT","AGRWTH","M","2018-09",1.2,
"JPN","CPI","TOT","AGRWTH","M","2018-10",1.4,
"JPN","CPI","TOT","AGRWTH","M","2018-11",0.8,
"JPN","CPI","TOT","AGRWTH","M","2018-12",0.3,
"JPN","CPI","TOT","AGRWTH","M","2019-01",0.2,
"JPN","CPI","TOT","AGRWTH","M","2019-02",0.2,
"JPN","CPI","TOT","AGRWTH","M","2019-03",0.5,
"JPN","CPI","TOT","AGRWTH","M","2019-04",0.9,
"JPN","CPI","TOT","AGRWTH","M","2019-05",0.7,
"JPN","CPI","TOT","AGRWTH","M","2019-06",0.7,
"JPN","CPI","TOT","AGRWTH","M","2019-07",0.5,
"JPN","CPI","TOT","AGRWTH","M","2019-08",0.3,
"JPN","CPI","TOT","AGRWTH","M","2019-09",0.2,
"JPN","CPI","TOT","AGRWTH","M","2019-10",0.2,
"JPN","CPI","TOT","AGRWTH","M","2019-11",0.5,
"JPN","CPI","TOT","AGRWTH","M","2019-12",0.8,
"JPN","CPI","TOT","AGRWTH","M","2020-01",0.7,
"JPN","CPI","TOT","AGRWTH","M","2020-02",0.4,
"JPN","CPI","TOT","AGRWTH","M","2020-03",0.4,
"JPN","CPI","TOT","AGRWTH","M","2020-04",0.1,
"JPN","CPI","TOT","AGRWTH","M","2020-05",0.1,
"JPN","CPI","TOT","AGRWTH","M","2020-06",0.1,
"JPN","CPI","TOT","AGRWTH","M","2020-07",0.3,
"JPN","CPI","TOT","AGRWTH","M","2020-08",0.2,
"JPN","CPI","TOT","AGRWTH","M","2020-09",0,
"JPN","CPI","TOT","AGRWTH","M","2020-10",-0.4,
"JPN","CPI","TOT","AGRWTH","M","2020-11",-0.9,
"JPN","CPI","TOT","AGRWTH","M","2020-12",-1.2,
"CHE","CPI","TOT","AGRWTH","M","2017-12",0.8386562,
"CHE","CPI","TOT","AGRWTH","M","2018-01",0.7402027,
"CHE","CPI","TOT","AGRWTH","M","2018-02",0.6280298,
"CHE","CPI","TOT","AGRWTH","M","2018-03",0.7953681,
"CHE","CPI","TOT","AGRWTH","M","2018-04",0.8031909,
"CHE","CPI","TOT","AGRWTH","M","2018-05",0.9992321,
"CHE","CPI","TOT","AGRWTH","M","2018-06",1.146528,
"CHE","CPI","TOT","AGRWTH","M","2018-07",1.230351,
"CHE","CPI","TOT","AGRWTH","M","2018-08",1.180957,
"CHE","CPI","TOT","AGRWTH","M","2018-09",0.9894649,
"CHE","CPI","TOT","AGRWTH","M","2018-10",1.106566,
"CHE","CPI","TOT","AGRWTH","M","2018-11",0.9219655,
"CHE","CPI","TOT","AGRWTH","M","2018-12",0.691547,
"CHE","CPI","TOT","AGRWTH","M","2019-01",0.560085,
"CHE","CPI","TOT","AGRWTH","M","2019-02",0.578697,
"CHE","CPI","TOT","AGRWTH","M","2019-03",0.7290673,
"CHE","CPI","TOT","AGRWTH","M","2019-04",0.7080731,
"CHE","CPI","TOT","AGRWTH","M","2019-05",0.6342515,
"CHE","CPI","TOT","AGRWTH","M","2019-06",0.6003243,
"CHE","CPI","TOT","AGRWTH","M","2019-07",0.3117058,
"CHE","CPI","TOT","AGRWTH","M","2019-08",0.3180431,
"CHE","CPI","TOT","AGRWTH","M","2019-09",0.1483251,
"CHE","CPI","TOT","AGRWTH","M","2019-10",-0.2531092,
"CHE","CPI","TOT","AGRWTH","M","2019-11",-0.1311517,
"CHE","CPI","TOT","AGRWTH","M","2019-12",0.1558172,
"CHE","CPI","TOT","AGRWTH","M","2020-01",0.2023444,
"CHE","CPI","TOT","AGRWTH","M","2020-02",-0.06226834,
"CHE","CPI","TOT","AGRWTH","M","2020-03",-0.5151759,
"CHE","CPI","TOT","AGRWTH","M","2020-04",-1.06309,
"CHE","CPI","TOT","AGRWTH","M","2020-05",-1.324576,
"CHE","CPI","TOT","AGRWTH","M","2020-06",-1.274809,
