"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.277019059,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.684937397,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.979420846,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.485912143,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.904627933,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.872744108,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.36840484,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.186409991,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.497127843,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.649124817,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.607538848,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.393353994,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.279320053,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.027382636,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.328123983,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.496099212,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.292920672,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.423409183,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.355002114,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.069019083,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.382631967,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.596472835,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.166751655,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.552374299,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.138397435,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.497283852,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.017259139,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.019093758,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-18.752685567,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.0034854,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.74064396,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.260081491,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.797642273,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.40280483,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q1",-0.034943123,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.05179369,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.653421834,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.453692756,
