DATE,LRUNTTTTCHQ156S
1999-04-01,3.1449064553343
1999-07-01,.
1999-10-01,.
2000-01-01,.
2000-04-01,2.66499372647428
2000-07-01,.
2000-10-01,.
2001-01-01,.
2001-04-01,2.49090053730161
2001-07-01,.
2001-10-01,.
2002-01-01,.
2002-04-01,2.92338956491933
2002-07-01,.
2002-10-01,.
2003-01-01,.
2003-04-01,4.11555491035784
2003-07-01,.
2003-10-01,.
2004-01-01,.
2004-04-01,4.31640766609469
2004-07-01,.
2004-10-01,.
2005-01-01,.
2005-04-01,4.43616253907189
2005-07-01,.
2005-10-01,.
2006-01-01,.
2006-04-01,3.99981043552438
2006-07-01,.
2006-10-01,.
2007-01-01,.
2007-04-01,3.65098286702662
2007-07-01,.
2007-10-01,.
2008-01-01,.
2008-04-01,3.35055080678338
2008-07-01,.
2008-10-01,.
2009-01-01,.
2009-04-01,4.1157440690151
2009-07-01,.
2009-10-01,.
2010-01-01,5.04847868409094
2010-04-01,4.96550498325381
2010-07-01,4.75354787516312
2010-10-01,4.44574064887136
2011-01-01,4.38905932657564
2011-04-01,4.18660412972716
2011-07-01,4.44102375752789
2011-10-01,4.59212058935534
2012-01-01,4.23712898738107
2012-04-01,4.33329678115632
2012-07-01,4.48570837098684
2012-10-01,4.8797730457005
2013-01-01,4.79954389857763
2013-04-01,4.83231504773908
2013-07-01,4.71312180684956
2013-10-01,4.64394531363451
2014-01-01,4.97351892785888
2014-04-01,4.98668802438185
2014-07-01,4.86590274750867
2014-10-01,4.4846626388208
2015-01-01,4.41128284324236
2015-04-01,4.73768269866655
2015-07-01,4.95905041113912
2015-10-01,5.09145572212604
2016-01-01,4.98450168624703
2016-04-01,4.9443611605739
2016-07-01,4.93043006477026
2016-10-01,4.81284147236633
2017-01-01,4.92066654776734
2017-04-01,4.70675600399649
2017-07-01,4.81320302971242
2017-10-01,4.7470010092056
2018-01-01,4.87919814864613
2018-04-01,4.93191156738036
2018-07-01,4.24885264491719
2018-10-01,4.79203981756143
2019-01-01,4.63351956527248
2019-04-01,4.46711057130612
2019-07-01,4.39985498168033
2019-10-01,4.07800544341144
2020-01-01,4.22411014022817
2020-04-01,4.91597235698642
2020-07-01,5.04910434459102
