DATE,LRUNTTTTNZQ156S
1986-01-01,4.2
1986-04-01,4.1
1986-07-01,4.2
1986-10-01,4.3
1987-01-01,4.1
1987-04-01,4.2
1987-07-01,4.2
1987-10-01,4.4
1988-01-01,5.0
1988-04-01,5.5
1988-07-01,6.4
1988-10-01,6.3
1989-01-01,7.1
1989-04-01,7.5
1989-07-01,7.4
1989-10-01,7.3
1990-01-01,7.2
1990-04-01,7.7
1990-07-01,8.1
1990-10-01,8.9
1991-01-01,9.8
1991-04-01,10.5
1991-07-01,11.2
1991-10-01,11
1992-01-01,11.0
1992-04-01,10.5
1992-07-01,10.6
1992-10-01,10.6
1993-01-01,10.1
1993-04-01,10.2
1993-07-01,9.5
1993-10-01,9.4
1994-01-01,9.3
1994-04-01,8.5
1994-07-01,8
1994-10-01,7.6
1995-01-01,6.8
1995-04-01,6.4
1995-07-01,6.2
1995-10-01,6.4
1996-01-01,6.4
1996-04-01,6.2
1996-07-01,6.5
1996-10-01,6.2
1997-01-01,6.7
1997-04-01,6.8
1997-07-01,7
1997-10-01,7
1998-01-01,7.4
1998-04-01,7.9
1998-07-01,7.7
1998-10-01,7.9
1999-01-01,7.5
1999-04-01,7.3
1999-07-01,7
1999-10-01,6.4
2000-01-01,6.5
2000-04-01,6.3
2000-07-01,6
2000-10-01,5.8
2001-01-01,5.5
2001-04-01,5.4
2001-07-01,5.4
2001-10-01,5.6
2002-01-01,5.3
2002-04-01,5.3
2002-07-01,5.5
2002-10-01,5.1
2003-01-01,5
2003-04-01,4.8
2003-07-01,4.5
2003-10-01,4.7
2004-01-01,4.3
2004-04-01,4.2
2004-07-01,3.9
2004-10-01,3.7
2005-01-01,3.9
2005-04-01,3.8
2005-07-01,3.8
2005-10-01,3.7
2006-01-01,4.1
2006-04-01,3.7
2006-07-01,3.9
2006-10-01,3.8
2007-01-01,3.9
2007-04-01,3.6
2007-07-01,3.6
2007-10-01,3.4
2008-01-01,3.8
2008-04-01,3.8
2008-07-01,4.1
2008-10-01,4.4
2009-01-01,5.0
2009-04-01,5.8
2009-07-01,6.2
2009-10-01,6.6
2010-01-01,5.9
2010-04-01,6.6
2010-07-01,6.1
2010-10-01,6.2
2011-01-01,6.0
2011-04-01,6.1
2011-07-01,6.0
2011-10-01,6.1
2012-01-01,6.4
2012-04-01,6.4
2012-07-01,6.7
2012-10-01,6.3
2013-01-01,5.8
2013-04-01,6.0
2013-07-01,5.8
2013-10-01,5.7
2014-01-01,5.6
2014-04-01,5.3
2014-07-01,5.3
2014-10-01,5.5
2015-01-01,5.5
2015-04-01,5.5
2015-07-01,5.7
2015-10-01,5.0
2016-01-01,5.3
2016-04-01,5.1
2016-07-01,5.0
2016-10-01,5.3
2017-01-01,4.9
2017-04-01,4.8
2017-07-01,4.7
2017-10-01,4.5
2018-01-01,4.4
2018-04-01,4.5
2018-07-01,4.0
2018-10-01,4.4
2019-01-01,4.2
2019-04-01,4.0
2019-07-01,4.2
2019-10-01,4.1
2020-01-01,4.2
2020-04-01,4.0
2020-07-01,5.3
