"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2017-01",5.67978,
"AUS","HUR","TOT","PC_LF","M","2017-02",5.839218,
"AUS","HUR","TOT","PC_LF","M","2017-03",5.841589,
"AUS","HUR","TOT","PC_LF","M","2017-04",5.611211,
"AUS","HUR","TOT","PC_LF","M","2017-05",5.553464,
"AUS","HUR","TOT","PC_LF","M","2017-06",5.598296,
"AUS","HUR","TOT","PC_LF","M","2017-07",5.585122,
"AUS","HUR","TOT","PC_LF","M","2017-08",5.506114,
"AUS","HUR","TOT","PC_LF","M","2017-09",5.447813,
"AUS","HUR","TOT","PC_LF","M","2017-10",5.36837,
"AUS","HUR","TOT","PC_LF","M","2017-11",5.41383,
"AUS","HUR","TOT","PC_LF","M","2017-12",5.609648,
"AUS","HUR","TOT","PC_LF","M","2018-01",5.501085,
"AUS","HUR","TOT","PC_LF","M","2018-02",5.559339,
"AUS","HUR","TOT","PC_LF","M","2018-03",5.505105,
"AUS","HUR","TOT","PC_LF","M","2018-04",5.534267,
"AUS","HUR","TOT","PC_LF","M","2018-05",5.406442,
"AUS","HUR","TOT","PC_LF","M","2018-06",5.31858,
"AUS","HUR","TOT","PC_LF","M","2018-07",5.275815,
"AUS","HUR","TOT","PC_LF","M","2018-08",5.257135,
"AUS","HUR","TOT","PC_LF","M","2018-09",5.01553,
"AUS","HUR","TOT","PC_LF","M","2018-10",5.002687,
"AUS","HUR","TOT","PC_LF","M","2018-11",5.098609,
"AUS","HUR","TOT","PC_LF","M","2018-12",5.0095,
"AUS","HUR","TOT","PC_LF","M","2019-01",5.041164,
"AUS","HUR","TOT","PC_LF","M","2019-02",4.956326,
"AUS","HUR","TOT","PC_LF","M","2019-03",5.079308,
"AUS","HUR","TOT","PC_LF","M","2019-04",5.216677,
"AUS","HUR","TOT","PC_LF","M","2019-05",5.224588,
"AUS","HUR","TOT","PC_LF","M","2019-06",5.248259,
"AUS","HUR","TOT","PC_LF","M","2019-07",5.245596,
"AUS","HUR","TOT","PC_LF","M","2019-08",5.244605,
"AUS","HUR","TOT","PC_LF","M","2019-09",5.199507,
"AUS","HUR","TOT","PC_LF","M","2019-10",5.298264,
"AUS","HUR","TOT","PC_LF","M","2019-11",5.140154,
"AUS","HUR","TOT","PC_LF","M","2019-12",5.051248,
"AUS","HUR","TOT","PC_LF","M","2020-01",5.264596,
"AUS","HUR","TOT","PC_LF","M","2020-02",5.077748,
"AUS","HUR","TOT","PC_LF","M","2020-03",5.21979,
"AUS","HUR","TOT","PC_LF","M","2020-04",6.353878,
"AUS","HUR","TOT","PC_LF","M","2020-05",7.062555,
"AUS","HUR","TOT","PC_LF","M","2020-06",7.435485,
"AUS","HUR","TOT","PC_LF","M","2020-07",7.480891,
"AUS","HUR","TOT","PC_LF","M","2020-08",6.809101,
"AUS","HUR","TOT","PC_LF","M","2020-09",6.914853,
"AUS","HUR","TOT","PC_LF","M","2020-10",6.987514,
"AUS","HUR","TOT","PC_LF","M","2020-11",6.825236,
"AUT","HUR","TOT","PC_LF","M","2017-01",5.7,
"AUT","HUR","TOT","PC_LF","M","2017-02",5.8,
"AUT","HUR","TOT","PC_LF","M","2017-03",5.7,
"AUT","HUR","TOT","PC_LF","M","2017-04",5.7,
"AUT","HUR","TOT","PC_LF","M","2017-05",5.5,
"AUT","HUR","TOT","PC_LF","M","2017-06",5.4,
"AUT","HUR","TOT","PC_LF","M","2017-07",5.4,
"AUT","HUR","TOT","PC_LF","M","2017-08",5.4,
"AUT","HUR","TOT","PC_LF","M","2017-09",5.3,
"AUT","HUR","TOT","PC_LF","M","2017-10",5.4,
"AUT","HUR","TOT","PC_LF","M","2017-11",5.5,
"AUT","HUR","TOT","PC_LF","M","2017-12",5.5,
"AUT","HUR","TOT","PC_LF","M","2018-01",5.2,
"AUT","HUR","TOT","PC_LF","M","2018-02",5,
"AUT","HUR","TOT","PC_LF","M","2018-03",4.9,
"AUT","HUR","TOT","PC_LF","M","2018-04",4.8,
"AUT","HUR","TOT","PC_LF","M","2018-05",4.7,
"AUT","HUR","TOT","PC_LF","M","2018-06",4.8,
"AUT","HUR","TOT","PC_LF","M","2018-07",4.9,
"AUT","HUR","TOT","PC_LF","M","2018-08",4.9,
"AUT","HUR","TOT","PC_LF","M","2018-09",5,
"AUT","HUR","TOT","PC_LF","M","2018-10",4.9,
"AUT","HUR","TOT","PC_LF","M","2018-11",4.8,
"AUT","HUR","TOT","PC_LF","M","2018-12",4.7,
"AUT","HUR","TOT","PC_LF","M","2019-01",4.8,
"AUT","HUR","TOT","PC_LF","M","2019-02",4.8,
"AUT","HUR","TOT","PC_LF","M","2019-03",4.7,
"AUT","HUR","TOT","PC_LF","M","2019-04",4.7,
"AUT","HUR","TOT","PC_LF","M","2019-05",4.5,
"AUT","HUR","TOT","PC_LF","M","2019-06",4.4,
"AUT","HUR","TOT","PC_LF","M","2019-07",4.4,
"AUT","HUR","TOT","PC_LF","M","2019-08",4.5,
"AUT","HUR","TOT","PC_LF","M","2019-09",4.5,
"AUT","HUR","TOT","PC_LF","M","2019-10",4.4,
"AUT","HUR","TOT","PC_LF","M","2019-11",4.3,
"AUT","HUR","TOT","PC_LF","M","2019-12",4.3,
"AUT","HUR","TOT","PC_LF","M","2020-01",4.4,
"AUT","HUR","TOT","PC_LF","M","2020-02",4.5,
"AUT","HUR","TOT","PC_LF","M","2020-03",4.6,
"AUT","HUR","TOT","PC_LF","M","2020-04",4.7,
"AUT","HUR","TOT","PC_LF","M","2020-05",5.6,
"AUT","HUR","TOT","PC_LF","M","2020-06",5.5,
"AUT","HUR","TOT","PC_LF","M","2020-07",5.3,
"AUT","HUR","TOT","PC_LF","M","2020-08",5.2,
"AUT","HUR","TOT","PC_LF","M","2020-09",5.1,
"AUT","HUR","TOT","PC_LF","M","2020-10",5.1,
"AUT","HUR","TOT","PC_LF","M","2020-11",5.2,
"BEL","HUR","TOT","PC_LF","M","2017-01",7.6,
"BEL","HUR","TOT","PC_LF","M","2017-02",7.8,
"BEL","HUR","TOT","PC_LF","M","2017-03",7.7,
"BEL","HUR","TOT","PC_LF","M","2017-04",7.4,
"BEL","HUR","TOT","PC_LF","M","2017-05",7.2,
"BEL","HUR","TOT","PC_LF","M","2017-06",7.1,
"BEL","HUR","TOT","PC_LF","M","2017-07",7.2,
"BEL","HUR","TOT","PC_LF","M","2017-08",7.2,
"BEL","HUR","TOT","PC_LF","M","2017-09",6.9,
"BEL","HUR","TOT","PC_LF","M","2017-10",6.7,
"BEL","HUR","TOT","PC_LF","M","2017-11",6.4,
"BEL","HUR","TOT","PC_LF","M","2017-12",6.2,
"BEL","HUR","TOT","PC_LF","M","2018-01",6.1,
"BEL","HUR","TOT","PC_LF","M","2018-02",6.1,
"BEL","HUR","TOT","PC_LF","M","2018-03",6.1,
"BEL","HUR","TOT","PC_LF","M","2018-04",6.3,
"BEL","HUR","TOT","PC_LF","M","2018-05",6.3,
"BEL","HUR","TOT","PC_LF","M","2018-06",6.1,
"BEL","HUR","TOT","PC_LF","M","2018-07",5.9,
