,Time,Interest Rate
0,2018-01-01 00:00:00,2.75
1,2018-01-01 01:00:00,2.75
2,2018-01-01 02:00:00,2.75
3,2018-01-01 03:00:00,2.75
4,2018-01-01 04:00:00,2.75
5,2018-01-01 05:00:00,2.75
6,2018-01-01 06:00:00,2.75
7,2018-01-01 07:00:00,2.75
8,2018-01-01 08:00:00,2.75
9,2018-01-01 09:00:00,2.75
10,2018-01-01 10:00:00,2.75
11,2018-01-01 11:00:00,2.75
12,2018-01-01 12:00:00,2.75
13,2018-01-01 13:00:00,2.75
14,2018-01-01 14:00:00,2.75
15,2018-01-01 15:00:00,2.75
16,2018-01-01 16:00:00,2.75
17,2018-01-01 17:00:00,2.75
18,2018-01-01 18:00:00,2.75
19,2018-01-01 19:00:00,2.75
20,2018-01-01 20:00:00,2.75
21,2018-01-01 21:00:00,2.75
22,2018-01-01 22:00:00,2.75
23,2018-01-01 23:00:00,2.75
24,2018-01-02 00:00:00,2.75
25,2018-01-02 01:00:00,2.75
26,2018-01-02 02:00:00,2.75
27,2018-01-02 03:00:00,2.75
28,2018-01-02 04:00:00,2.75
29,2018-01-02 05:00:00,2.75
30,2018-01-02 06:00:00,2.75
31,2018-01-02 07:00:00,2.75
32,2018-01-02 08:00:00,2.75
33,2018-01-02 09:00:00,2.75
34,2018-01-02 10:00:00,2.75
35,2018-01-02 11:00:00,2.75
36,2018-01-02 12:00:00,2.75
37,2018-01-02 13:00:00,2.75
38,2018-01-02 14:00:00,2.75
39,2018-01-02 15:00:00,2.75
40,2018-01-02 16:00:00,2.75
41,2018-01-02 17:00:00,2.75
42,2018-01-02 18:00:00,2.75
43,2018-01-02 19:00:00,2.75
44,2018-01-02 20:00:00,2.75
45,2018-01-02 21:00:00,2.75
46,2018-01-02 22:00:00,2.75
47,2018-01-02 23:00:00,2.75
48,2018-01-03 00:00:00,2.75
49,2018-01-03 01:00:00,2.75
50,2018-01-03 02:00:00,2.75
51,2018-01-03 03:00:00,2.75
52,2018-01-03 04:00:00,2.75
53,2018-01-03 05:00:00,2.75
54,2018-01-03 06:00:00,2.75
55,2018-01-03 07:00:00,2.75
56,2018-01-03 08:00:00,2.75
57,2018-01-03 09:00:00,2.75
58,2018-01-03 10:00:00,2.75
59,2018-01-03 11:00:00,2.75
60,2018-01-03 12:00:00,2.75
61,2018-01-03 13:00:00,2.75
62,2018-01-03 14:00:00,2.75
63,2018-01-03 15:00:00,2.75
64,2018-01-03 16:00:00,2.75
65,2018-01-03 17:00:00,2.75
66,2018-01-03 18:00:00,2.75
67,2018-01-03 19:00:00,2.75
68,2018-01-03 20:00:00,2.75
69,2018-01-03 21:00:00,2.75
70,2018-01-03 22:00:00,2.75
71,2018-01-03 23:00:00,2.75
72,2018-01-04 00:00:00,2.75
73,2018-01-04 01:00:00,2.75
74,2018-01-04 02:00:00,2.75
75,2018-01-04 03:00:00,2.75
76,2018-01-04 04:00:00,2.75
77,2018-01-04 05:00:00,2.75
78,2018-01-04 06:00:00,2.75
79,2018-01-04 07:00:00,2.75
80,2018-01-04 08:00:00,2.75
81,2018-01-04 09:00:00,2.75
82,2018-01-04 10:00:00,2.75
83,2018-01-04 11:00:00,2.75
84,2018-01-04 12:00:00,2.75
85,2018-01-04 13:00:00,2.75
86,2018-01-04 14:00:00,2.75
87,2018-01-04 15:00:00,2.75
88,2018-01-04 16:00:00,2.75
89,2018-01-04 17:00:00,2.75
90,2018-01-04 18:00:00,2.75
91,2018-01-04 19:00:00,2.75
92,2018-01-04 20:00:00,2.75
93,2018-01-04 21:00:00,2.75
94,2018-01-04 22:00:00,2.75
95,2018-01-04 23:00:00,2.75
96,2018-01-05 00:00:00,2.75
97,2018-01-05 01:00:00,2.75
98,2018-01-05 02:00:00,2.75
99,2018-01-05 03:00:00,2.75
100,2018-01-05 04:00:00,2.75
101,2018-01-05 05:00:00,2.75
102,2018-01-05 06:00:00,2.75
103,2018-01-05 07:00:00,2.75
104,2018-01-05 08:00:00,2.75
105,2018-01-05 09:00:00,2.75
106,2018-01-05 10:00:00,2.75
107,2018-01-05 11:00:00,2.75
108,2018-01-05 12:00:00,2.75
109,2018-01-05 13:00:00,2.75
110,2018-01-05 14:00:00,2.75
111,2018-01-05 15:00:00,2.75
112,2018-01-05 16:00:00,2.75
113,2018-01-05 17:00:00,2.75
114,2018-01-05 18:00:00,2.75
115,2018-01-05 19:00:00,2.75
116,2018-01-05 20:00:00,2.75
117,2018-01-05 21:00:00,2.75
118,2018-01-05 22:00:00,2.75
119,2018-01-05 23:00:00,2.75
120,2018-01-06 00:00:00,2.75
121,2018-01-06 01:00:00,2.75
122,2018-01-06 02:00:00,2.75
123,2018-01-06 03:00:00,2.75
124,2018-01-06 04:00:00,2.75
125,2018-01-06 05:00:00,2.75
126,2018-01-06 06:00:00,2.75
127,2018-01-06 07:00:00,2.75
128,2018-01-06 08:00:00,2.75
129,2018-01-06 09:00:00,2.75
130,2018-01-06 10:00:00,2.75
131,2018-01-06 11:00:00,2.75
132,2018-01-06 12:00:00,2.75
133,2018-01-06 13:00:00,2.75
134,2018-01-06 14:00:00,2.75
135,2018-01-06 15:00:00,2.75
136,2018-01-06 16:00:00,2.75
137,2018-01-06 17:00:00,2.75
138,2018-01-06 18:00:00,2.75
139,2018-01-06 19:00:00,2.75
140,2018-01-06 20:00:00,2.75
141,2018-01-06 21:00:00,2.75
142,2018-01-06 22:00:00,2.75
143,2018-01-06 23:00:00,2.75
144,2018-01-07 00:00:00,2.75
145,2018-01-07 01:00:00,2.75
146,2018-01-07 02:00:00,2.75
147,2018-01-07 03:00:00,2.75
148,2018-01-07 04:00:00,2.75
149,2018-01-07 05:00:00,2.75
150,2018-01-07 06:00:00,2.75
151,2018-01-07 07:00:00,2.75
152,2018-01-07 08:00:00,2.75
153,2018-01-07 09:00:00,2.75
154,2018-01-07 10:00:00,2.75
155,2018-01-07 11:00:00,2.75
156,2018-01-07 12:00:00,2.75
157,2018-01-07 13:00:00,2.75
158,2018-01-07 14:00:00,2.75
159,2018-01-07 15:00:00,2.75
160,2018-01-07 16:00:00,2.75
161,2018-01-07 17:00:00,2.75
162,2018-01-07 18:00:00,2.75
163,2018-01-07 19:00:00,2.75
164,2018-01-07 20:00:00,2.75
165,2018-01-07 21:00:00,2.75
166,2018-01-07 22:00:00,2.75
167,2018-01-07 23:00:00,2.75
168,2018-01-08 00:00:00,2.75
169,2018-01-08 01:00:00,2.75
170,2018-01-08 02:00:00,2.75
171,2018-01-08 03:00:00,2.75
172,2018-01-08 04:00:00,2.75
173,2018-01-08 05:00:00,2.75
174,2018-01-08 06:00:00,2.75
175,2018-01-08 07:00:00,2.75
176,2018-01-08 08:00:00,2.75
177,2018-01-08 09:00:00,2.75
178,2018-01-08 10:00:00,2.75
179,2018-01-08 11:00:00,2.75
180,2018-01-08 12:00:00,2.75
181,2018-01-08 13:00:00,2.75
182,2018-01-08 14:00:00,2.75
183,2018-01-08 15:00:00,2.75
184,2018-01-08 16:00:00,2.75
185,2018-01-08 17:00:00,2.75
186,2018-01-08 18:00:00,2.75
187,2018-01-08 19:00:00,2.75
188,2018-01-08 20:00:00,2.75
189,2018-01-08 21:00:00,2.75
190,2018-01-08 22:00:00,2.75
191,2018-01-08 23:00:00,2.75
192,2018-01-09 00:00:00,2.75
193,2018-01-09 01:00:00,2.75
194,2018-01-09 02:00:00,2.75
195,2018-01-09 03:00:00,2.75
196,2018-01-09 04:00:00,2.75
197,2018-01-09 05:00:00,2.75
198,2018-01-09 06:00:00,2.75
199,2018-01-09 07:00:00,2.75
200,2018-01-09 08:00:00,2.75
201,2018-01-09 09:00:00,2.75
202,2018-01-09 10:00:00,2.75
203,2018-01-09 11:00:00,2.75
204,2018-01-09 12:00:00,2.75
205,2018-01-09 13:00:00,2.75
206,2018-01-09 14:00:00,2.75
207,2018-01-09 15:00:00,2.75
208,2018-01-09 16:00:00,2.75
209,2018-01-09 17:00:00,2.75
210,2018-01-09 18:00:00,2.75
211,2018-01-09 19:00:00,2.75
212,2018-01-09 20:00:00,2.75
213,2018-01-09 21:00:00,2.75
214,2018-01-09 22:00:00,2.75
215,2018-01-09 23:00:00,2.75
216,2018-01-10 00:00:00,2.75
217,2018-01-10 01:00:00,2.75
218,2018-01-10 02:00:00,2.75
219,2018-01-10 03:00:00,2.75
220,2018-01-10 04:00:00,2.75
221,2018-01-10 05:00:00,2.75
222,2018-01-10 06:00:00,2.75
223,2018-01-10 07:00:00,2.75
224,2018-01-10 08:00:00,2.75
225,2018-01-10 09:00:00,2.75
226,2018-01-10 10:00:00,2.75
227,2018-01-10 11:00:00,2.75
228,2018-01-10 12:00:00,2.75
229,2018-01-10 13:00:00,2.75
230,2018-01-10 14:00:00,2.75
231,2018-01-10 15:00:00,2.75
232,2018-01-10 16:00:00,2.75
233,2018-01-10 17:00:00,2.75
234,2018-01-10 18:00:00,2.75
235,2018-01-10 19:00:00,2.75
236,2018-01-10 20:00:00,2.75
237,2018-01-10 21:00:00,2.75
238,2018-01-10 22:00:00,2.75
239,2018-01-10 23:00:00,2.75
240,2018-01-11 00:00:00,2.75
241,2018-01-11 01:00:00,2.75
242,2018-01-11 02:00:00,2.75
243,2018-01-11 03:00:00,2.75
244,2018-01-11 04:00:00,2.75
245,2018-01-11 05:00:00,2.75
246,2018-01-11 06:00:00,2.75
247,2018-01-11 07:00:00,2.75
248,2018-01-11 08:00:00,2.75
249,2018-01-11 09:00:00,2.75
250,2018-01-11 10:00:00,2.75
251,2018-01-11 11:00:00,2.75
252,2018-01-11 12:00:00,2.75
253,2018-01-11 13:00:00,2.75
254,2018-01-11 14:00:00,2.75
255,2018-01-11 15:00:00,2.75
256,2018-01-11 16:00:00,2.75
257,2018-01-11 17:00:00,2.75
258,2018-01-11 18:00:00,2.75
259,2018-01-11 19:00:00,2.75
260,2018-01-11 20:00:00,2.75
261,2018-01-11 21:00:00,2.75
262,2018-01-11 22:00:00,2.75
263,2018-01-11 23:00:00,2.75
264,2018-01-12 00:00:00,2.75
265,2018-01-12 01:00:00,2.75
266,2018-01-12 02:00:00,2.75
267,2018-01-12 03:00:00,2.75
268,2018-01-12 04:00:00,2.75
269,2018-01-12 05:00:00,2.75
270,2018-01-12 06:00:00,2.75
271,2018-01-12 07:00:00,2.75
272,2018-01-12 08:00:00,2.75
273,2018-01-12 09:00:00,2.75
274,2018-01-12 10:00:00,2.75
275,2018-01-12 11:00:00,2.75
276,2018-01-12 12:00:00,2.75
277,2018-01-12 13:00:00,2.75
278,2018-01-12 14:00:00,2.75
279,2018-01-12 15:00:00,2.75
280,2018-01-12 16:00:00,2.75
281,2018-01-12 17:00:00,2.75
282,2018-01-12 18:00:00,2.75
283,2018-01-12 19:00:00,2.75
284,2018-01-12 20:00:00,2.75
285,2018-01-12 21:00:00,2.75
286,2018-01-12 22:00:00,2.75
287,2018-01-12 23:00:00,2.75
288,2018-01-13 00:00:00,2.75
289,2018-01-13 01:00:00,2.75
290,2018-01-13 02:00:00,2.75
291,2018-01-13 03:00:00,2.75
292,2018-01-13 04:00:00,2.75
293,2018-01-13 05:00:00,2.75
294,2018-01-13 06:00:00,2.75
295,2018-01-13 07:00:00,2.75
296,2018-01-13 08:00:00,2.75
297,2018-01-13 09:00:00,2.75
298,2018-01-13 10:00:00,2.75
299,2018-01-13 11:00:00,2.75
300,2018-01-13 12:00:00,2.75
301,2018-01-13 13:00:00,2.75
302,2018-01-13 14:00:00,2.75
303,2018-01-13 15:00:00,2.75
304,2018-01-13 16:00:00,2.75
305,2018-01-13 17:00:00,2.75
306,2018-01-13 18:00:00,2.75
307,2018-01-13 19:00:00,2.75
308,2018-01-13 20:00:00,2.75
309,2018-01-13 21:00:00,2.75
310,2018-01-13 22:00:00,2.75
311,2018-01-13 23:00:00,2.75
312,2018-01-14 00:00:00,2.75
313,2018-01-14 01:00:00,2.75
314,2018-01-14 02:00:00,2.75
315,2018-01-14 03:00:00,2.75
316,2018-01-14 04:00:00,2.75
317,2018-01-14 05:00:00,2.75
318,2018-01-14 06:00:00,2.75
319,2018-01-14 07:00:00,2.75
320,2018-01-14 08:00:00,2.75
321,2018-01-14 09:00:00,2.75
322,2018-01-14 10:00:00,2.75
323,2018-01-14 11:00:00,2.75
