,Time,Interest Rate
0,2018-01-01 00:00:00,0.08
1,2018-01-01 01:00:00,0.08
2,2018-01-01 02:00:00,0.08
3,2018-01-01 03:00:00,0.08
4,2018-01-01 04:00:00,0.08
5,2018-01-01 05:00:00,0.08
6,2018-01-01 06:00:00,0.08
7,2018-01-01 07:00:00,0.08
8,2018-01-01 08:00:00,0.08
9,2018-01-01 09:00:00,0.08
10,2018-01-01 10:00:00,0.08
11,2018-01-01 11:00:00,0.08
12,2018-01-01 12:00:00,0.08
13,2018-01-01 13:00:00,0.08
14,2018-01-01 14:00:00,0.08
15,2018-01-01 15:00:00,0.08
16,2018-01-01 16:00:00,0.08
17,2018-01-01 17:00:00,0.08
18,2018-01-01 18:00:00,0.08
19,2018-01-01 19:00:00,0.08
20,2018-01-01 20:00:00,0.08
21,2018-01-01 21:00:00,0.08
22,2018-01-01 22:00:00,0.08
23,2018-01-01 23:00:00,0.08
24,2018-01-02 00:00:00,0.08
25,2018-01-02 01:00:00,0.08
26,2018-01-02 02:00:00,0.08
27,2018-01-02 03:00:00,0.08
28,2018-01-02 04:00:00,0.08
29,2018-01-02 05:00:00,0.08
30,2018-01-02 06:00:00,0.08
31,2018-01-02 07:00:00,0.08
32,2018-01-02 08:00:00,0.08
33,2018-01-02 09:00:00,0.08
34,2018-01-02 10:00:00,0.08
35,2018-01-02 11:00:00,0.08
36,2018-01-02 12:00:00,0.08
37,2018-01-02 13:00:00,0.08
38,2018-01-02 14:00:00,0.08
39,2018-01-02 15:00:00,0.08
40,2018-01-02 16:00:00,0.08
41,2018-01-02 17:00:00,0.08
42,2018-01-02 18:00:00,0.08
43,2018-01-02 19:00:00,0.08
44,2018-01-02 20:00:00,0.08
45,2018-01-02 21:00:00,0.08
46,2018-01-02 22:00:00,0.08
47,2018-01-02 23:00:00,0.08
48,2018-01-03 00:00:00,0.08
49,2018-01-03 01:00:00,0.08
50,2018-01-03 02:00:00,0.08
51,2018-01-03 03:00:00,0.08
52,2018-01-03 04:00:00,0.08
53,2018-01-03 05:00:00,0.08
54,2018-01-03 06:00:00,0.08
55,2018-01-03 07:00:00,0.08
56,2018-01-03 08:00:00,0.08
57,2018-01-03 09:00:00,0.08
58,2018-01-03 10:00:00,0.08
59,2018-01-03 11:00:00,0.08
60,2018-01-03 12:00:00,0.08
