,Time,Interest Rate
0,2018-01-01 00:00:00,2.88
1,2018-01-01 01:00:00,2.88
2,2018-01-01 02:00:00,2.88
3,2018-01-01 03:00:00,2.88
4,2018-01-01 04:00:00,2.88
5,2018-01-01 05:00:00,2.88
6,2018-01-01 06:00:00,2.88
7,2018-01-01 07:00:00,2.88
8,2018-01-01 08:00:00,2.88
9,2018-01-01 09:00:00,2.88
10,2018-01-01 10:00:00,2.88
11,2018-01-01 11:00:00,2.88
12,2018-01-01 12:00:00,2.88
13,2018-01-01 13:00:00,2.88
14,2018-01-01 14:00:00,2.88
15,2018-01-01 15:00:00,2.88
16,2018-01-01 16:00:00,2.88
17,2018-01-01 17:00:00,2.88
18,2018-01-01 18:00:00,2.88
19,2018-01-01 19:00:00,2.88
20,2018-01-01 20:00:00,2.88
21,2018-01-01 21:00:00,2.88
22,2018-01-01 22:00:00,2.88
23,2018-01-01 23:00:00,2.88
24,2018-01-02 00:00:00,2.88
25,2018-01-02 01:00:00,2.88
26,2018-01-02 02:00:00,2.88
27,2018-01-02 03:00:00,2.88
28,2018-01-02 04:00:00,2.88
29,2018-01-02 05:00:00,2.88
30,2018-01-02 06:00:00,2.88
31,2018-01-02 07:00:00,2.88
32,2018-01-02 08:00:00,2.88
33,2018-01-02 09:00:00,2.88
34,2018-01-02 10:00:00,2.88
35,2018-01-02 11:00:00,2.88
36,2018-01-02 12:00:00,2.88
37,2018-01-02 13:00:00,2.88
38,2018-01-02 14:00:00,2.88
39,2018-01-02 15:00:00,2.88
40,2018-01-02 16:00:00,2.88
41,2018-01-02 17:00:00,2.88
42,2018-01-02 18:00:00,2.88
43,2018-01-02 19:00:00,2.88
44,2018-01-02 20:00:00,2.88
45,2018-01-02 21:00:00,2.88
46,2018-01-02 22:00:00,2.88
47,2018-01-02 23:00:00,2.88
48,2018-01-03 00:00:00,2.88
49,2018-01-03 01:00:00,2.88
50,2018-01-03 02:00:00,2.88
51,2018-01-03 03:00:00,2.88
52,2018-01-03 04:00:00,2.88
53,2018-01-03 05:00:00,2.88
54,2018-01-03 06:00:00,2.88
55,2018-01-03 07:00:00,2.88
56,2018-01-03 08:00:00,2.88
57,2018-01-03 09:00:00,2.88
58,2018-01-03 10:00:00,2.88
59,2018-01-03 11:00:00,2.88
60,2018-01-03 12:00:00,2.88
61,2018-01-03 13:00:00,2.88
62,2018-01-03 14:00:00,2.88
63,2018-01-03 15:00:00,2.88
64,2018-01-03 16:00:00,2.88
65,2018-01-03 17:00:00,2.88
66,2018-01-03 18:00:00,2.88
67,2018-01-03 19:00:00,2.88
68,2018-01-03 20:00:00,2.88
69,2018-01-03 21:00:00,2.88
70,2018-01-03 22:00:00,2.88
71,2018-01-03 23:00:00,2.88
72,2018-01-04 00:00:00,2.88
73,2018-01-04 01:00:00,2.88
74,2018-01-04 02:00:00,2.88
75,2018-01-04 03:00:00,2.88
76,2018-01-04 04:00:00,2.88
77,2018-01-04 05:00:00,2.88
78,2018-01-04 06:00:00,2.88
79,2018-01-04 07:00:00,2.88
80,2018-01-04 08:00:00,2.88
81,2018-01-04 09:00:00,2.88
82,2018-01-04 10:00:00,2.88
83,2018-01-04 11:00:00,2.88
84,2018-01-04 12:00:00,2.88
85,2018-01-04 13:00:00,2.88
86,2018-01-04 14:00:00,2.88
87,2018-01-04 15:00:00,2.88
88,2018-01-04 16:00:00,2.88
89,2018-01-04 17:00:00,2.88
90,2018-01-04 18:00:00,2.88
91,2018-01-04 19:00:00,2.88
92,2018-01-04 20:00:00,2.88
93,2018-01-04 21:00:00,2.88
94,2018-01-04 22:00:00,2.88
95,2018-01-04 23:00:00,2.88
96,2018-01-05 00:00:00,2.88
97,2018-01-05 01:00:00,2.88
98,2018-01-05 02:00:00,2.88
99,2018-01-05 03:00:00,2.88
100,2018-01-05 04:00:00,2.88
101,2018-01-05 05:00:00,2.88
102,2018-01-05 06:00:00,2.88
103,2018-01-05 07:00:00,2.88
104,2018-01-05 08:00:00,2.88
105,2018-01-05 09:00:00,2.88
106,2018-01-05 10:00:00,2.88
107,2018-01-05 11:00:00,2.88
108,2018-01-05 12:00:00,2.88
109,2018-01-05 13:00:00,2.88
110,2018-01-05 14:00:00,2.88
111,2018-01-05 15:00:00,2.88
112,2018-01-05 16:00:00,2.88
113,2018-01-05 17:00:00,2.88
114,2018-01-05 18:00:00,2.88
115,2018-01-05 19:00:00,2.88
116,2018-01-05 20:00:00,2.88
117,2018-01-05 21:00:00,2.88
118,2018-01-05 22:00:00,2.88
119,2018-01-05 23:00:00,2.88
120,2018-01-06 00:00:00,2.88
121,2018-01-06 01:00:00,2.88
122,2018-01-06 02:00:00,2.88
123,2018-01-06 03:00:00,2.88
124,2018-01-06 04:00:00,2.88
125,2018-01-06 05:00:00,2.88
126,2018-01-06 06:00:00,2.88
127,2018-01-06 07:00:00,2.88
128,2018-01-06 08:00:00,2.88
129,2018-01-06 09:00:00,2.88
130,2018-01-06 10:00:00,2.88
131,2018-01-06 11:00:00,2.88
132,2018-01-06 12:00:00,2.88
133,2018-01-06 13:00:00,2.88
134,2018-01-06 14:00:00,2.88
135,2018-01-06 15:00:00,2.88
136,2018-01-06 16:00:00,2.88
137,2018-01-06 17:00:00,2.88
138,2018-01-06 18:00:00,2.88
139,2018-01-06 19:00:00,2.88
140,2018-01-06 20:00:00,2.88
141,2018-01-06 21:00:00,2.88
142,2018-01-06 22:00:00,2.88
143,2018-01-06 23:00:00,2.88
144,2018-01-07 00:00:00,2.88
145,2018-01-07 01:00:00,2.88
146,2018-01-07 02:00:00,2.88
147,2018-01-07 03:00:00,2.88
148,2018-01-07 04:00:00,2.88
149,2018-01-07 05:00:00,2.88
150,2018-01-07 06:00:00,2.88
151,2018-01-07 07:00:00,2.88
152,2018-01-07 08:00:00,2.88
153,2018-01-07 09:00:00,2.88
154,2018-01-07 10:00:00,2.88
155,2018-01-07 11:00:00,2.88
156,2018-01-07 12:00:00,2.88
157,2018-01-07 13:00:00,2.88
158,2018-01-07 14:00:00,2.88
159,2018-01-07 15:00:00,2.88
160,2018-01-07 16:00:00,2.88
161,2018-01-07 17:00:00,2.88
162,2018-01-07 18:00:00,2.88
163,2018-01-07 19:00:00,2.88
164,2018-01-07 20:00:00,2.88
165,2018-01-07 21:00:00,2.88
166,2018-01-07 22:00:00,2.88
167,2018-01-07 23:00:00,2.88
168,2018-01-08 00:00:00,2.88
169,2018-01-08 01:00:00,2.88
170,2018-01-08 02:00:00,2.88
171,2018-01-08 03:00:00,2.88
172,2018-01-08 04:00:00,2.88
173,2018-01-08 05:00:00,2.88
174,2018-01-08 06:00:00,2.88
175,2018-01-08 07:00:00,2.88
176,2018-01-08 08:00:00,2.88
177,2018-01-08 09:00:00,2.88
178,2018-01-08 10:00:00,2.88
179,2018-01-08 11:00:00,2.88
180,2018-01-08 12:00:00,2.88
181,2018-01-08 13:00:00,2.88
182,2018-01-08 14:00:00,2.88
183,2018-01-08 15:00:00,2.88
184,2018-01-08 16:00:00,2.88
185,2018-01-08 17:00:00,2.88
186,2018-01-08 18:00:00,2.88
187,2018-01-08 19:00:00,2.88
188,2018-01-08 20:00:00,2.88
189,2018-01-08 21:00:00,2.88
190,2018-01-08 22:00:00,2.88
191,2018-01-08 23:00:00,2.88
192,2018-01-09 00:00:00,2.88
193,2018-01-09 01:00:00,2.88
194,2018-01-09 02:00:00,2.88
195,2018-01-09 03:00:00,2.88
196,2018-01-09 04:00:00,2.88
197,2018-01-09 05:00:00,2.88
198,2018-01-09 06:00:00,2.88
199,2018-01-09 07:00:00,2.88
200,2018-01-09 08:00:00,2.88
201,2018-01-09 09:00:00,2.88
202,2018-01-09 10:00:00,2.88
203,2018-01-09 11:00:00,2.88
204,2018-01-09 12:00:00,2.88
205,2018-01-09 13:00:00,2.88
206,2018-01-09 14:00:00,2.88
207,2018-01-09 15:00:00,2.88
208,2018-01-09 16:00:00,2.88
209,2018-01-09 17:00:00,2.88
210,2018-01-09 18:00:00,2.88
211,2018-01-09 19:00:00,2.88
212,2018-01-09 20:00:00,2.88
213,2018-01-09 21:00:00,2.88
214,2018-01-09 22:00:00,2.88
215,2018-01-09 23:00:00,2.88
216,2018-01-10 00:00:00,2.88
217,2018-01-10 01:00:00,2.88
218,2018-01-10 02:00:00,2.88
219,2018-01-10 03:00:00,2.88
220,2018-01-10 04:00:00,2.88
221,2018-01-10 05:00:00,2.88
222,2018-01-10 06:00:00,2.88
223,2018-01-10 07:00:00,2.88
224,2018-01-10 08:00:00,2.88
225,2018-01-10 09:00:00,2.88
226,2018-01-10 10:00:00,2.88
227,2018-01-10 11:00:00,2.88
228,2018-01-10 12:00:00,2.88
229,2018-01-10 13:00:00,2.88
230,2018-01-10 14:00:00,2.88
231,2018-01-10 15:00:00,2.88
232,2018-01-10 16:00:00,2.88
233,2018-01-10 17:00:00,2.88
234,2018-01-10 18:00:00,2.88
235,2018-01-10 19:00:00,2.88
236,2018-01-10 20:00:00,2.88
237,2018-01-10 21:00:00,2.88
238,2018-01-10 22:00:00,2.88
239,2018-01-10 23:00:00,2.88
240,2018-01-11 00:00:00,2.88
241,2018-01-11 01:00:00,2.88
242,2018-01-11 02:00:00,2.88
243,2018-01-11 03:00:00,2.88
244,2018-01-11 04:00:00,2.88
245,2018-01-11 05:00:00,2.88
246,2018-01-11 06:00:00,2.88
247,2018-01-11 07:00:00,2.88
248,2018-01-11 08:00:00,2.88
249,2018-01-11 09:00:00,2.88
250,2018-01-11 10:00:00,2.88
251,2018-01-11 11:00:00,2.88
252,2018-01-11 12:00:00,2.88
253,2018-01-11 13:00:00,2.88
254,2018-01-11 14:00:00,2.88
255,2018-01-11 15:00:00,2.88
256,2018-01-11 16:00:00,2.88
257,2018-01-11 17:00:00,2.88
258,2018-01-11 18:00:00,2.88
259,2018-01-11 19:00:00,2.88
260,2018-01-11 20:00:00,2.88
261,2018-01-11 21:00:00,2.88
262,2018-01-11 22:00:00,2.88
263,2018-01-11 23:00:00,2.88
264,2018-01-12 00:00:00,2.88
265,2018-01-12 01:00:00,2.88
266,2018-01-12 02:00:00,2.88
267,2018-01-12 03:00:00,2.88
268,2018-01-12 04:00:00,2.88
269,2018-01-12 05:00:00,2.88
270,2018-01-12 06:00:00,2.88
271,2018-01-12 07:00:00,2.88
272,2018-01-12 08:00:00,2.88
273,2018-01-12 09:00:00,2.88
274,2018-01-12 10:00:00,2.88
275,2018-01-12 11:00:00,2.88
276,2018-01-12 12:00:00,2.88
277,2018-01-12 13:00:00,2.88
278,2018-01-12 14:00:00,2.88
279,2018-01-12 15:00:00,2.88
280,2018-01-12 16:00:00,2.88
281,2018-01-12 17:00:00,2.88
282,2018-01-12 18:00:00,2.88
283,2018-01-12 19:00:00,2.88
284,2018-01-12 20:00:00,2.88
285,2018-01-12 21:00:00,2.88
286,2018-01-12 22:00:00,2.88
287,2018-01-12 23:00:00,2.88
288,2018-01-13 00:00:00,2.88
289,2018-01-13 01:00:00,2.88
290,2018-01-13 02:00:00,2.88
291,2018-01-13 03:00:00,2.88
292,2018-01-13 04:00:00,2.88
293,2018-01-13 05:00:00,2.88
294,2018-01-13 06:00:00,2.88
295,2018-01-13 07:00:00,2.88
296,2018-01-13 08:00:00,2.88
297,2018-01-13 09:00:00,2.88
298,2018-01-13 10:00:00,2.88
299,2018-01-13 11:00:00,2.88
300,2018-01-13 12:00:00,2.88
301,2018-01-13 13:00:00,2.88
302,2018-01-13 14:00:00,2.88
303,2018-01-13 15:00:00,2.88
304,2018-01-13 16:00:00,2.88
305,2018-01-13 17:00:00,2.88
306,2018-01-13 18:00:00,2.88
307,2018-01-13 19:00:00,2.88
308,2018-01-13 20:00:00,2.88
309,2018-01-13 21:00:00,2.88
310,2018-01-13 22:00:00,2.88
311,2018-01-13 23:00:00,2.88
312,2018-01-14 00:00:00,2.88
313,2018-01-14 01:00:00,2.88
314,2018-01-14 02:00:00,2.88
315,2018-01-14 03:00:00,2.88
316,2018-01-14 04:00:00,2.88
317,2018-01-14 05:00:00,2.88
318,2018-01-14 06:00:00,2.88
319,2018-01-14 07:00:00,2.88
320,2018-01-14 08:00:00,2.88
321,2018-01-14 09:00:00,2.88
322,2018-01-14 10:00:00,2.88
323,2018-01-14 11:00:00,2.88
324,2018-01-14 12:00:00,2.88
325,2018-01-14 13:00:00,2.88
326,2018-01-14 14:00:00,2.88
327,2018-01-14 15:00:00,2.88
328,2018-01-14 16:00:00,2.88
329,2018-01-14 17:00:00,2.88
330,2018-01-14 18:00:00,2.88
331,2018-01-14 19:00:00,2.88
332,2018-01-14 20:00:00,2.88
333,2018-01-14 21:00:00,2.88
334,2018-01-14 22:00:00,2.88
335,2018-01-14 23:00:00,2.88
336,2018-01-15 00:00:00,2.88
337,2018-01-15 01:00:00,2.88
338,2018-01-15 02:00:00,2.88
339,2018-01-15 03:00:00,2.88
340,2018-01-15 04:00:00,2.88
341,2018-01-15 05:00:00,2.88
342,2018-01-15 06:00:00,2.88
343,2018-01-15 07:00:00,2.88
344,2018-01-15 08:00:00,2.88
345,2018-01-15 09:00:00,2.88
346,2018-01-15 10:00:00,2.88
347,2018-01-15 11:00:00,2.88
348,2018-01-15 12:00:00,2.88
349,2018-01-15 13:00:00,2.88
350,2018-01-15 14:00:00,2.88
351,2018-01-15 15:00:00,2.88
352,2018-01-15 16:00:00,2.88
353,2018-01-15 17:00:00,2.88
354,2018-01-15 18:00:00,2.88
355,2018-01-15 19:00:00,2.88
356,2018-01-15 20:00:00,2.88
357,2018-01-15 21:00:00,2.88
358,2018-01-15 22:00:00,2.88
359,2018-01-15 23:00:00,2.88
360,2018-01-16 00:00:00,2.88
361,2018-01-16 01:00:00,2.88
362,2018-01-16 02:00:00,2.88
363,2018-01-16 03:00:00,2.88
364,2018-01-16 04:00:00,2.88
365,2018-01-16 05:00:00,2.88
366,2018-01-16 06:00:00,2.88
367,2018-01-16 07:00:00,2.88
368,2018-01-16 08:00:00,2.88
369,2018-01-16 09:00:00,2.88
370,2018-01-16 10:00:00,2.88
371,2018-01-16 11:00:00,2.88
372,2018-01-16 12:00:00,2.88
373,2018-01-16 13:00:00,2.88
