,Time,Interest Rate
0,2018-01-01 00:00:00,2.58
1,2018-01-01 01:00:00,2.58
2,2018-01-01 02:00:00,2.58
3,2018-01-01 03:00:00,2.58
4,2018-01-01 04:00:00,2.58
5,2018-01-01 05:00:00,2.58
6,2018-01-01 06:00:00,2.58
7,2018-01-01 07:00:00,2.58
8,2018-01-01 08:00:00,2.58
9,2018-01-01 09:00:00,2.58
10,2018-01-01 10:00:00,2.58
11,2018-01-01 11:00:00,2.58
12,2018-01-01 12:00:00,2.58
13,2018-01-01 13:00:00,2.58
14,2018-01-01 14:00:00,2.58
15,2018-01-01 15:00:00,2.58
16,2018-01-01 16:00:00,2.58
17,2018-01-01 17:00:00,2.58
18,2018-01-01 18:00:00,2.58
19,2018-01-01 19:00:00,2.58
20,2018-01-01 20:00:00,2.58
21,2018-01-01 21:00:00,2.58
22,2018-01-01 22:00:00,2.58
23,2018-01-01 23:00:00,2.58
24,2018-01-02 00:00:00,2.58
25,2018-01-02 01:00:00,2.58
26,2018-01-02 02:00:00,2.58
27,2018-01-02 03:00:00,2.58
28,2018-01-02 04:00:00,2.58
29,2018-01-02 05:00:00,2.58
30,2018-01-02 06:00:00,2.58
31,2018-01-02 07:00:00,2.58
32,2018-01-02 08:00:00,2.58
33,2018-01-02 09:00:00,2.58
34,2018-01-02 10:00:00,2.58
35,2018-01-02 11:00:00,2.58
36,2018-01-02 12:00:00,2.58
37,2018-01-02 13:00:00,2.58
38,2018-01-02 14:00:00,2.58
39,2018-01-02 15:00:00,2.58
40,2018-01-02 16:00:00,2.58
41,2018-01-02 17:00:00,2.58
42,2018-01-02 18:00:00,2.58
43,2018-01-02 19:00:00,2.58
44,2018-01-02 20:00:00,2.58
45,2018-01-02 21:00:00,2.58
46,2018-01-02 22:00:00,2.58
47,2018-01-02 23:00:00,2.58
48,2018-01-03 00:00:00,2.58
49,2018-01-03 01:00:00,2.58
50,2018-01-03 02:00:00,2.58
51,2018-01-03 03:00:00,2.58
52,2018-01-03 04:00:00,2.58
53,2018-01-03 05:00:00,2.58
54,2018-01-03 06:00:00,2.58
55,2018-01-03 07:00:00,2.58
56,2018-01-03 08:00:00,2.58
57,2018-01-03 09:00:00,2.58
58,2018-01-03 10:00:00,2.58
59,2018-01-03 11:00:00,2.58
60,2018-01-03 12:00:00,2.58
61,2018-01-03 13:00:00,2.58
62,2018-01-03 14:00:00,2.58
63,2018-01-03 15:00:00,2.58
64,2018-01-03 16:00:00,2.58
65,2018-01-03 17:00:00,2.58
66,2018-01-03 18:00:00,2.58
67,2018-01-03 19:00:00,2.58
68,2018-01-03 20:00:00,2.58
69,2018-01-03 21:00:00,2.58
70,2018-01-03 22:00:00,2.58
71,2018-01-03 23:00:00,2.58
72,2018-01-04 00:00:00,2.58
73,2018-01-04 01:00:00,2.58
74,2018-01-04 02:00:00,2.58
75,2018-01-04 03:00:00,2.58
76,2018-01-04 04:00:00,2.58
77,2018-01-04 05:00:00,2.58
78,2018-01-04 06:00:00,2.58
79,2018-01-04 07:00:00,2.58
80,2018-01-04 08:00:00,2.58
81,2018-01-04 09:00:00,2.58
82,2018-01-04 10:00:00,2.58
83,2018-01-04 11:00:00,2.58
84,2018-01-04 12:00:00,2.58
85,2018-01-04 13:00:00,2.58
86,2018-01-04 14:00:00,2.58
87,2018-01-04 15:00:00,2.58
88,2018-01-04 16:00:00,2.58
89,2018-01-04 17:00:00,2.58
90,2018-01-04 18:00:00,2.58
91,2018-01-04 19:00:00,2.58
92,2018-01-04 20:00:00,2.58
93,2018-01-04 21:00:00,2.58
94,2018-01-04 22:00:00,2.58
95,2018-01-04 23:00:00,2.58
96,2018-01-05 00:00:00,2.58
97,2018-01-05 01:00:00,2.58
98,2018-01-05 02:00:00,2.58
99,2018-01-05 03:00:00,2.58
100,2018-01-05 04:00:00,2.58
101,2018-01-05 05:00:00,2.58
102,2018-01-05 06:00:00,2.58
