"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LTINT","TOT","PC_PA","M","2016-12",2.79,
"AUS","LTINT","TOT","PC_PA","M","2017-01",2.73,
"AUS","LTINT","TOT","PC_PA","M","2017-02",2.75,
"AUS","LTINT","TOT","PC_PA","M","2017-03",2.81,
"AUS","LTINT","TOT","PC_PA","M","2017-04",2.56,
"AUS","LTINT","TOT","PC_PA","M","2017-05",2.54,
"AUS","LTINT","TOT","PC_PA","M","2017-06",2.41,
"AUS","LTINT","TOT","PC_PA","M","2017-07",2.64,
"AUS","LTINT","TOT","PC_PA","M","2017-08",2.6,
"AUS","LTINT","TOT","PC_PA","M","2017-09",2.7,
"AUS","LTINT","TOT","PC_PA","M","2017-10",2.78,
"AUS","LTINT","TOT","PC_PA","M","2017-11",2.57,
"AUS","LTINT","TOT","PC_PA","M","2017-12",2.58,
"AUS","LTINT","TOT","PC_PA","M","2018-01",2.75,
"AUS","LTINT","TOT","PC_PA","M","2018-02",2.86,
"AUS","LTINT","TOT","PC_PA","M","2018-03",2.72,
"AUS","LTINT","TOT","PC_PA","M","2018-04",2.74,
"AUS","LTINT","TOT","PC_PA","M","2018-05",2.79,
"AUS","LTINT","TOT","PC_PA","M","2018-06",2.7,
"AUS","LTINT","TOT","PC_PA","M","2018-07",2.64,
"AUS","LTINT","TOT","PC_PA","M","2018-08",2.59,
"AUS","LTINT","TOT","PC_PA","M","2018-09",2.63,
"AUS","LTINT","TOT","PC_PA","M","2018-10",2.68,
"AUS","LTINT","TOT","PC_PA","M","2018-11",2.68,
"AUS","LTINT","TOT","PC_PA","M","2018-12",2.43,
"AUS","LTINT","TOT","PC_PA","M","2019-01",2.27,
"AUS","LTINT","TOT","PC_PA","M","2019-02",2.13,
"AUS","LTINT","TOT","PC_PA","M","2019-03",1.96,
"AUS","LTINT","TOT","PC_PA","M","2019-04",1.86,
"AUS","LTINT","TOT","PC_PA","M","2019-05",1.65,
"AUS","LTINT","TOT","PC_PA","M","2019-06",1.38,
"AUS","LTINT","TOT","PC_PA","M","2019-07",1.31,
"AUS","LTINT","TOT","PC_PA","M","2019-08",0.95,
"AUS","LTINT","TOT","PC_PA","M","2019-09",1.03,
"AUS","LTINT","TOT","PC_PA","M","2019-10",1.03,
"AUS","LTINT","TOT","PC_PA","M","2019-11",1.15,
"AUS","LTINT","TOT","PC_PA","M","2019-12",1.2,
"AUS","LTINT","TOT","PC_PA","M","2020-01",1.15,
"AUS","LTINT","TOT","PC_PA","M","2020-02",0.98,
"AUS","LTINT","TOT","PC_PA","M","2020-03",0.89,
"AUS","LTINT","TOT","PC_PA","M","2020-04",0.86,
"AUS","LTINT","TOT","PC_PA","M","2020-05",0.91,
"AUS","LTINT","TOT","PC_PA","M","2020-06",0.92,
"AUS","LTINT","TOT","PC_PA","M","2020-07",0.88,
"AUS","LTINT","TOT","PC_PA","M","2020-08",0.89,
"AUS","LTINT","TOT","PC_PA","M","2020-09",0.9,
"AUS","LTINT","TOT","PC_PA","M","2020-10",0.82,
"AUS","LTINT","TOT","PC_PA","M","2020-11",0.87,
"AUS","LTINT","TOT","PC_PA","M","2020-12",0.98,
"CHE","LTINT","TOT","PC_PA","M","2016-12",-0.135,
"CHE","LTINT","TOT","PC_PA","M","2017-01",-0.072,
"CHE","LTINT","TOT","PC_PA","M","2017-02",-0.213,
"CHE","LTINT","TOT","PC_PA","M","2017-03",-0.1,
"CHE","LTINT","TOT","PC_PA","M","2017-04",-0.096,
"CHE","LTINT","TOT","PC_PA","M","2017-05",-0.145,
"CHE","LTINT","TOT","PC_PA","M","2017-06",-0.025,
"CHE","LTINT","TOT","PC_PA","M","2017-07",0.06,
"CHE","LTINT","TOT","PC_PA","M","2017-08",-0.114,
"CHE","LTINT","TOT","PC_PA","M","2017-09",0.017,
"CHE","LTINT","TOT","PC_PA","M","2017-10",-0.029,
"CHE","LTINT","TOT","PC_PA","M","2017-11",-0.053,
"CHE","LTINT","TOT","PC_PA","M","2017-12",-0.095,
"CHE","LTINT","TOT","PC_PA","M","2018-01",0.103,
"CHE","LTINT","TOT","PC_PA","M","2018-02",0.116,
"CHE","LTINT","TOT","PC_PA","M","2018-03",0.054,
"CHE","LTINT","TOT","PC_PA","M","2018-04",0.12,
"CHE","LTINT","TOT","PC_PA","M","2018-05",-0.008,
